epoch,step,loss_total,loss_cds,loss_org,loss_pa,val_loss,val_acc_cds,val_acc_org,val_acc_pa,sps
1,657,,,,,3.7034598613414595,0.0829850362772204,0.14186217008797655,0.3883797653958944,
2,1314,,,,,3.7055022618637756,0.08338791595176517,0.14846041055718476,0.39002932551319647,
3,1971,,,,,3.7054514091385427,0.08405202296712706,0.15377565982404692,0.39222873900293254,
4,2628,,,,,3.6974734868471923,0.08436789282234358,0.1528592375366569,0.39002932551319647,
5,3000,,,,,3.698431214978618,0.08453001229425679,0.1496434284270334,0.39641095710989316,
6,3657,,,,,3.6991543147570924,0.08496742529515997,0.15642495335371961,0.390912423385553,
7,4314,,,,,3.697812657202444,0.08494061763641422,0.1590909090909091,0.390545854470597,
8,4971,,,,,3.7000515167314636,0.08527181999992765,0.16202346041055718,0.39604438819493715,
9,5793,,,,,3.696182362145343,0.08595442759348325,0.18218475073313783,0.3951612903225806,
10,6450,,,,,3.6925360789396895,0.08639411890983058,0.18621700879765396,0.3973607038123167,
11,7107,,,,,3.6877990772297653,0.08665702298086934,0.1937316715542522,0.3980938416422287,
12,7764,,,,,3.684498248561736,0.0865315095005322,0.18695014662756598,0.3982771260997067,
13,8421,,,,,3.686405012684484,0.08660844699793722,0.18365102639296188,0.39974340175953077,
14,9078,,,,,3.6860477420941127,0.08669677738351556,0.20179618768328444,0.39644428152492667,
15,9735,,,,,3.6836127409837114,0.0871320068453851,0.19794721407624633,0.3969941348973607,
16,10392,,,,,3.6822031232968104,0.08758852290552208,0.18181818181818182,0.4006598240469208,
17,11049,,,,,3.6836278127435365,0.08755632758664945,0.17888563049853373,0.3942448680351906,
18,11706,,,,,3.6776431022850997,0.08851903167900102,0.18493401759530792,0.3935117302052786,
19,12363,,,,,3.6791941581233853,0.08824890762392726,0.18273460410557185,0.3966275659824047,
20,13020,,,,,3.6734838314419966,0.08895616887732685,0.19574780058651026,0.3966275659824047,
21,13677,,,,,3.6762113018818963,0.08925948063692739,0.17137096774193547,0.3973607038123167,
22,14334,,,,,3.6722385261065797,0.08954453800976976,0.20197947214076245,0.3969941348973607,
23,14991,,,,,3.6685221055386004,0.09030485139542486,0.1843841642228739,0.39534457478005863,
24,15648,,,,,3.670023436420474,0.09042355711530906,0.1812683284457478,0.3969941348973607,
25,16305,,,,,3.6692638802738133,0.09047811421022213,0.1940982404692082,0.3966275659824047,
26,16962,,,,,3.6669700729532324,0.0910334400832653,0.18511730205278593,0.39956011730205276,
27,17619,,,,,3.6651343156165743,0.09150813116290528,0.1935483870967742,0.3903958944281525,
28,18276,,,,,3.6636231260215784,0.09178956826913916,0.20326246334310852,0.39626099706744866,
29,18933,,,,,3.661127189037737,0.09216218048985228,0.1937316715542522,0.3951612903225806,
30,19590,,,,,3.660912814028452,0.0928443338984181,0.1940982404692082,0.4008431085043988,
31,20247,,,,,3.658578950638645,0.09290510146193141,0.1970307917888563,0.3969941348973607,
32,20904,,,,,3.655123511017942,0.093146731579933,0.19959677419354838,0.3969941348973607,
33,21561,,,,,3.6504009741841874,0.0941657260540993,0.19501466275659823,0.3982771260997067,
34,22218,,,,,3.6556614616399634,0.09378677302878623,0.19959677419354838,0.39956011730205276,
34,22218,,,,,3.652452584235899,0.09409608965592126,0.20289589442815248,0.39607771260997066,
34,22218,,,,,3.658477966037314,0.09370639667330075,0.19813049853372433,0.3973607038123167,
34,22218,,,,,3.6553926611226326,0.09371803401589743,0.20692815249266863,0.3949780058651026,
35,22875,,,,,3.6605998305631173,0.09386856884004609,0.19831378299120234,0.3977272727272727,
35,22875,,,,,3.6560125794928093,0.09394189091044262,0.1906158357771261,0.39864369501466274,
35,22875,,,,,3.6506852229669295,0.09458574738429963,0.1940982404692082,0.3947947214076246,
36,23532,,,,,3.651837784523838,0.0948665766728239,0.19281524926686217,0.39534457478005863,
37,24189,,,,,3.6520555711561635,0.09473442816642547,0.1999633431085044,0.39589442815249265,
38,24846,,,,,3.647119143142029,0.09528986059806564,0.18585043988269795,0.39607771260997066,
39,25503,,,,,3.649115519789307,0.0952939964896423,0.18640029325513197,0.3969941348973607,
40,26160,,,,,3.646914904767817,0.0956382933905747,0.19116568914956011,0.39534457478005863,
40,26160,,,,,3.6482579243148177,0.09542404446215573,0.19831378299120234,0.3938782991202346,
41,26817,,,,,3.641124644936704,0.0963676286222211,0.19556451612903225,0.39241202346041054,
41,26817,,,,,3.643722693241936,0.09620874662422015,0.1814516129032258,0.39314516129032256,
42,27474,,,,,3.6474327590108966,0.09600867406407759,0.18841642228739003,0.4001099706744868,
43,28131,,,,,3.642826011453556,0.09625505500874561,0.19244868035190615,0.39846041055718473,
44,28788,,,,,3.6397897969942288,0.0970416060728062,0.19849706744868034,0.3940615835777126,
45,29445,,,,,3.641281819063897,0.09723774254147258,0.19446480938416422,0.3942448680351906,
46,30102,,,,,3.6400215443977513,0.09708699446903471,0.18585043988269795,0.39589442815249265,
47,30759,,,,,3.6339717453176323,0.09772617047068136,0.19501466275659823,0.3946114369501466,
48,31416,,,,,3.6363534004457536,0.09766612727948822,0.19813049853372433,0.3940615835777126,
48,31416,,,,,3.638929174792382,0.09738559234352055,0.19336510263929618,0.3947947214076246,
49,32073,,,,,3.637495310425409,0.09796880862383374,0.19959677419354838,0.3966275659824047,
49,32073,,,,,3.6340525318101005,0.0978817758300612,0.19574780058651026,0.4002932551319648,
50,32730,,,,,3.632460347718158,0.09820750373746118,0.19519794721407624,0.39882697947214074,
51,33217,,,,,3.6386643861395873,0.09722990791731216,0.19208211143695014,0.3949446814500691,
52,33874,,,,,3.6428406196605425,0.09713702890311868,0.18493401759530792,0.3951279659075471,
53,34531,,,,,3.633831838708469,0.09833656051510241,0.18988269794721407,0.39256198350285504,
54,35188,,,,,3.6364806796099085,0.09802167171126237,0.18695014662756598,0.3942115436201571,
55,35845,,,,,3.635883630545608,0.09847803493617567,0.1811683551132504,0.39604438819493715,
56,36502,,,,,3.6364278583582546,0.09845247847243838,0.1899660090721947,0.3940282591626791,
57,37159,,,,,3.6332012474362103,0.09900778964642555,0.19189882697947214,0.39292855241781105,
58,37816,,,,,3.6286093391631007,0.09931000567907113,0.16852172754726802,0.39622767265241515,
59,38473,,,,,3.6332544923877435,0.09941930383924515,0.19263196480938416,0.39586110373745914,
60,39130,,,,,3.6311619624364413,0.09938882249803487,0.20179618768328444,0.3942115436201571,
61,39787,,,,,3.6251991326508284,0.10026050685656385,0.18336776860298648,0.39329512133276706,
62,40444,,,,,3.6266542669615087,0.10027463634736028,0.1875,0.3984270861421512,
63,41101,,,,,3.6218714937786203,0.10057748561380896,0.18053519061583578,0.39567781927998114,
64,41858,,,,,3.619720619444973,0.10190421774371629,0.17888563049853373,0.3966275659824047,
64,41858,,,,,3.6235563936820827,0.10096634196833082,0.19464809384164222,0.3969941348973607,
65,42515,,,,,3.6179801106802527,0.10186569172550332,0.187133431085044,0.3969941348973607,
66,43172,,,,,3.6213597856309057,0.10140628632037871,0.17851906158357772,0.4008431085043988,
67,43829,,,,,3.6202078847941066,0.10166056638807495,0.19519794721407624,0.3982771260997067,
68,44486,,,,,3.6187072939886726,0.10226935922793629,0.19446480938416422,0.4001099706744868,
69,45143,,,,,3.614702141879241,0.10304728725001959,0.19574780058651026,0.3979105571847507,
70,45800,,,,,3.6132491669696796,0.10339513312358835,0.19849706744868034,0.39644428152492667,
71,46457,,,,,3.6180405043436985,0.10275167556168222,0.18310117302052786,0.3946114369501466,
72,47114,,,,,3.6121176869288916,0.10310341387746795,0.18823313782991202,0.3982771260997067,
