[11:18:37] Step 29460 | Total: 2.3626 | CDS: 2.2032
[11:18:51] Step 29465 | Total: 2.1213 | CDS: 2.0240
[11:19:06] Step 29470 | Total: 1.9084 | CDS: 1.7938
[11:19:20] Step 29475 | Total: 1.9614 | CDS: 1.8059
[11:19:34] Step 29480 | Total: 1.9444 | CDS: 1.8199
[11:19:48] Step 29485 | Total: 2.2572 | CDS: 2.0426
[11:20:02] Step 29490 | Total: 2.5107 | CDS: 2.3408
[11:20:16] Step 29495 | Total: 1.9929 | CDS: 1.8177
[11:20:30] Step 29500 | Total: 2.1111 | CDS: 1.8645
[11:20:44] Step 29505 | Total: 1.9982 | CDS: 1.8232
[11:20:58] Step 29510 | Total: 2.3823 | CDS: 2.2748
[11:21:12] Step 29515 | Total: 2.3557 | CDS: 2.2255
[11:21:27] Step 29520 | Total: 2.4348 | CDS: 2.2416
[11:21:41] Step 29525 | Total: 2.1794 | CDS: 2.0738
[11:21:55] Step 29530 | Total: 1.9561 | CDS: 1.8277
[11:22:09] Step 29535 | Total: 1.9197 | CDS: 1.7675
[11:22:23] Step 29540 | Total: 2.4128 | CDS: 2.2723
[11:22:37] Step 29545 | Total: 1.9757 | CDS: 1.8692
[11:22:51] Step 29550 | Total: 2.1076 | CDS: 2.0050
[11:23:12] 💾 Full checkpoint saved at Epoch 22, Step 29550, Batch 2479
[11:23:26] Step 29555 | Total: 2.0053 | CDS: 1.8689
[11:23:40] Step 29560 | Total: 2.4030 | CDS: 2.2670
[11:23:54] Step 29565 | Total: 1.8876 | CDS: 1.7441
[11:24:08] Step 29570 | Total: 2.6555 | CDS: 2.4998
[11:24:22] Step 29575 | Total: 1.8336 | CDS: 1.7210
[11:24:36] Step 29580 | Total: 1.9023 | CDS: 1.7439
[11:24:50] Step 29585 | Total: 2.0606 | CDS: 1.8846
[11:25:04] Step 29590 | Total: 1.8331 | CDS: 1.7057
[11:25:19] Step 29595 | Total: 2.0173 | CDS: 1.8344
[11:25:33] Step 29600 | Total: 2.4215 | CDS: 2.1844
[11:25:47] Step 29605 | Total: 2.3849 | CDS: 2.2105
[11:26:01] Step 29610 | Total: 1.9117 | CDS: 1.8015
[11:26:15] Step 29615 | Total: 2.3357 | CDS: 2.2306
[11:26:29] Step 29620 | Total: 2.1511 | CDS: 1.9373
[11:26:43] Step 29625 | Total: 2.2039 | CDS: 1.9933
[11:26:57] Step 29630 | Total: 2.0647 | CDS: 1.8958
[11:27:11] Step 29635 | Total: 1.9051 | CDS: 1.8024
[11:27:26] Step 29640 | Total: 2.0410 | CDS: 1.8777
[11:27:40] Step 29645 | Total: 2.1690 | CDS: 2.0251
[11:27:54] Step 29650 | Total: 2.0435 | CDS: 1.8534
[11:28:08] Step 29655 | Total: 2.1994 | CDS: 2.0598
[11:28:22] Step 29660 | Total: 1.9963 | CDS: 1.8183
[11:28:36] Step 29665 | Total: 2.3414 | CDS: 2.1925
[11:28:50] Step 29670 | Total: 2.5581 | CDS: 2.3962
[11:29:04] Step 29675 | Total: 2.0180 | CDS: 1.8275
[11:29:18] Step 29680 | Total: 2.0944 | CDS: 1.9386
[11:29:32] Step 29685 | Total: 2.0199 | CDS: 1.9250
[11:29:46] Step 29690 | Total: 2.9020 | CDS: 2.7651
[11:30:00] Step 29695 | Total: 2.0238 | CDS: 1.8497
[11:30:15] Step 29700 | Total: 2.0227 | CDS: 1.8663
[11:30:35] 💾 Full checkpoint saved at Epoch 22, Step 29700, Batch 3079
[11:30:49] Step 29705 | Total: 1.8933 | CDS: 1.7734
[11:31:03] Step 29710 | Total: 2.4864 | CDS: 2.3729
[11:31:17] Step 29715 | Total: 1.9210 | CDS: 1.7682
[11:31:31] Step 29720 | Total: 2.0060 | CDS: 1.9000
[11:31:45] Step 29725 | Total: 2.1604 | CDS: 2.0279
[11:31:59] Step 29730 | Total: 1.9161 | CDS: 1.8166
[11:32:13] Step 29735 | Total: 1.9809 | CDS: 1.8295
[11:32:28] Step 29740 | Total: 2.3089 | CDS: 2.1561
[11:32:42] Step 29745 | Total: 1.9903 | CDS: 1.8668
[11:32:56] Step 29750 | Total: 2.1322 | CDS: 1.9797
[11:33:10] Step 29755 | Total: 1.8956 | CDS: 1.7828
[11:33:24] Step 29760 | Total: 2.1066 | CDS: 1.9422
[11:33:38] Step 29765 | Total: 1.9281 | CDS: 1.8222
[11:33:52] Step 29770 | Total: 2.6438 | CDS: 2.4707
[11:34:06] Step 29775 | Total: 2.3186 | CDS: 2.1916
[11:34:20] Step 29780 | Total: 1.8195 | CDS: 1.7171
[11:34:35] Step 29785 | Total: 2.4067 | CDS: 2.1700
[11:34:49] Step 29790 | Total: 2.0065 | CDS: 1.8961
[11:35:03] Step 29795 | Total: 2.2020 | CDS: 2.0446
[11:35:17] Step 29800 | Total: 2.6717 | CDS: 2.4523
[11:35:31] Step 29805 | Total: 1.8521 | CDS: 1.7235
