epoch,step,loss_total,loss_cds,loss_org,loss_pa,val_loss,val_acc_cds,val_acc_org,val_acc_pa
1,5,4.943706512451172,4.497032165527344,2.668062925338745,1.798682451248169,,,,
1,10,4.972978591918945,4.496907711029053,2.999891757965088,1.760817289352417,,,,
1,15,4.975754737854004,4.529232025146484,2.759683609008789,1.705543041229248,,,,
1,20,4.969666004180908,4.508078098297119,2.8918964862823486,1.7239817380905151,,,,
1,25,4.931863307952881,4.483695983886719,2.786346912384033,1.6953262090682983,,,,
1,30,4.924083709716797,4.480241298675537,2.8265953063964844,1.6118285655975342,,,,
1,35,4.867143630981445,4.4293036460876465,2.8128104209899902,1.565589189529419,,,,
1,40,4.919562816619873,4.456142425537109,2.9628348350524902,1.6713676452636719,,,,
1,45,4.833041191101074,4.388830661773682,2.845527172088623,1.5965782403945923,,,,
1,50,4.838274955749512,4.384589195251465,2.835747241973877,1.701112985610962,,,,
1,55,4.8129777908325195,4.364808082580566,2.9208903312683105,1.5608060359954834,,,,
1,60,4.784887313842773,4.362514019012451,2.7222344875335693,1.501496434211731,,,,
1,65,4.792782306671143,4.365506649017334,2.8638288974761963,1.4089305400848389,,,,
1,70,4.793544769287109,4.345492839813232,2.80896258354187,1.671555995941162,,,,
1,75,4.683341979980469,4.244992733001709,2.7393875122070312,1.6441047191619873,,,,
1,80,4.710323333740234,4.2837324142456055,2.7124695777893066,1.5534396171569824,,,,
1,85,4.709162712097168,4.280735015869141,2.827671527862549,1.4566024541854858,,,,
1,90,4.675730228424072,4.242883682250977,2.8861818313598633,1.4422847032546997,,,,
1,95,4.570329189300537,4.136330604553223,2.8008909225463867,1.539096474647522,,,,
1,100,4.432490348815918,4.013859272003174,2.646527051925659,1.5397850275039673,,,,
1,105,4.636519908905029,4.202844619750977,2.8477702140808105,1.4889823198318481,,,,
1,110,4.456809997558594,4.037744045257568,2.7589046955108643,1.4317576885223389,,,,
1,115,4.608191013336182,4.160752773284912,2.774949312210083,1.6994335651397705,,,,
1,120,4.299435138702393,3.8799240589141846,2.8817994594573975,1.3133115768432617,,,,
1,125,4.4538187980651855,4.03905725479126,2.6480484008789062,1.499566912651062,,,,
1,130,4.433203220367432,4.070005416870117,2.192031145095825,1.4399502277374268,,,,
1,135,4.356105804443359,3.88940167427063,3.2379250526428223,1.4291160106658936,,,,
1,140,4.3186821937561035,3.9031901359558105,2.767085075378418,1.3878343105316162,,,,
1,145,4.522834777832031,4.103167533874512,2.717986583709717,1.478684663772583,,,,
1,150,4.372554779052734,4.006138801574707,2.2819807529449463,1.3821799755096436,,,,
1,155,4.447965621948242,4.0262956619262695,2.729015588760376,1.4876865148544312,,,,
1,160,4.359010696411133,3.9178624153137207,3.0063607692718506,1.4051216840744019,,,,
1,165,4.329399108886719,3.949309825897217,2.2794246673583984,1.5214686393737793,,,,
1,170,4.375672340393066,3.99255108833313,2.218998670578003,1.6122173070907593,,,,
1,175,4.343153953552246,4.014421463012695,1.8383204936981201,1.449004888534546,,,,
1,180,4.442811012268066,4.061690330505371,2.1959052085876465,1.6152993440628052,,,,
1,185,4.4630303382873535,4.05507230758667,2.7678236961364746,1.3117574453353882,,,,
1,190,4.356074810028076,3.998652696609497,2.3635635375976562,1.2106579542160034,,,,
1,195,4.379237651824951,3.961371660232544,2.546689987182617,1.6319708824157715,,,,
1,200,4.365880012512207,4.0371503829956055,1.8941364288330078,1.3931623697280884,,,,
1,205,4.325289249420166,3.9881629943847656,1.753170371055603,1.61809241771698,,,,
1,210,4.056109428405762,3.6554160118103027,2.5981972217559814,1.4087347984313965,,,,
1,215,4.010831832885742,3.647919178009033,2.0113372802734375,1.6177868843078613,,,,
1,220,4.198263168334961,3.808243989944458,2.5083470344543457,1.3918434381484985,,,,
1,225,4.3895721435546875,3.992084264755249,2.3599977493286133,1.6148802042007446,,,,
1,230,4.348831653594971,3.9219820499420166,2.6126179695129395,1.6558799743652344,,,,
1,235,4.407425403594971,4.034760475158691,2.2558414936065674,1.4708086252212524,,,,
1,240,4.281077861785889,3.947605609893799,1.9033808708190918,1.4313422441482544,,,,
1,245,4.227508544921875,3.903374433517456,1.8301641941070557,1.411177158355713,,,,
1,250,4.238109111785889,3.9222278594970703,1.6616462469100952,1.4971678256988525,,,,
1,255,4.341134548187256,3.921975612640381,2.523606538772583,1.6679807901382446,,,,
1,260,4.2273101806640625,3.8510541915893555,2.6279916763305664,1.1345694065093994,,,,
1,265,4.3656415939331055,4.050396919250488,1.7270303964614868,1.425413966178894,,,,
