[06:22:18] Step 6880 | Total: 1.7478 | CDS: 1.4916
[06:22:34] Step 6885 | Total: 1.5535 | CDS: 1.3136
[06:22:51] Step 6890 | Total: 1.5521 | CDS: 1.3419
[06:23:07] Step 6895 | Total: 1.6031 | CDS: 1.3937
[06:23:24] Step 6900 | Total: 1.6852 | CDS: 1.4388
[06:23:26] 💾 Full checkpoint saved at Epoch 5, Step 6900, Batch 1299
[06:23:43] Step 6905 | Total: 1.7239 | CDS: 1.5652
[06:24:00] Step 6910 | Total: 2.0260 | CDS: 1.6934
[06:24:16] Step 6915 | Total: 1.4696 | CDS: 1.2849
[06:24:33] Step 6920 | Total: 2.6102 | CDS: 2.4292
[06:24:49] Step 6925 | Total: 1.9455 | CDS: 1.6855
[06:25:06] Step 6930 | Total: 1.7333 | CDS: 1.5090
[06:25:23] Step 6935 | Total: 1.7085 | CDS: 1.5294
[06:25:39] Step 6940 | Total: 2.0176 | CDS: 1.7397
[06:25:56] Step 6945 | Total: 1.5246 | CDS: 1.2424
[06:26:12] Step 6950 | Total: 2.1561 | CDS: 1.9011
[06:26:29] Step 6955 | Total: 1.5897 | CDS: 1.3480
[06:26:46] Step 6960 | Total: 1.5889 | CDS: 1.3630
[06:27:02] Step 6965 | Total: 1.8782 | CDS: 1.6695
[06:27:19] Step 6970 | Total: 2.2585 | CDS: 2.0494
[06:27:35] Step 6975 | Total: 3.1211 | CDS: 2.8703
[06:27:52] Step 6980 | Total: 1.6326 | CDS: 1.4020
[06:28:09] Step 6985 | Total: 1.5838 | CDS: 1.3700
[06:28:25] Step 6990 | Total: 1.5527 | CDS: 1.3581
[06:28:42] Step 6995 | Total: 1.8388 | CDS: 1.4759
[06:28:58] Step 7000 | Total: 1.5429 | CDS: 1.3045
[06:29:15] Step 7005 | Total: 1.5741 | CDS: 1.3348
[06:29:32] Step 7010 | Total: 1.7369 | CDS: 1.5096
[06:29:48] Step 7015 | Total: 1.8516 | CDS: 1.6230
[06:30:05] Step 7020 | Total: 1.9724 | CDS: 1.7217
[06:30:21] Step 7025 | Total: 2.0570 | CDS: 1.8689
[06:30:38] Step 7030 | Total: 1.6945 | CDS: 1.4281
[06:30:55] Step 7035 | Total: 1.6530 | CDS: 1.4185
[06:31:11] Step 7040 | Total: 1.5729 | CDS: 1.3494
[06:31:28] Step 7045 | Total: 1.4791 | CDS: 1.3039
[06:31:44] Step 7050 | Total: 1.6158 | CDS: 1.4074
[06:31:47] 💾 Full checkpoint saved at Epoch 5, Step 7050, Batch 1899
[06:32:03] Step 7055 | Total: 1.5617 | CDS: 1.3660
[06:32:20] Step 7060 | Total: 2.4631 | CDS: 2.2589
[06:32:37] Step 7065 | Total: 1.8546 | CDS: 1.6112
[06:32:53] Step 7070 | Total: 2.0430 | CDS: 1.8246
[06:33:10] Step 7075 | Total: 1.6043 | CDS: 1.4004
[06:33:26] Step 7080 | Total: 2.3891 | CDS: 2.1999
[06:33:43] Step 7085 | Total: 1.7908 | CDS: 1.5707
[06:34:00] Step 7090 | Total: 1.5791 | CDS: 1.3517
[06:34:16] Step 7095 | Total: 1.6171 | CDS: 1.3454
[06:34:33] Step 7100 | Total: 1.9206 | CDS: 1.6598
[06:34:49] Step 7105 | Total: 1.6499 | CDS: 1.4716
[06:35:06] Step 7110 | Total: 1.6479 | CDS: 1.3548
[06:35:23] Step 7115 | Total: 1.5927 | CDS: 1.4021
[06:35:39] Step 7120 | Total: 1.7903 | CDS: 1.6056
[06:35:56] Step 7125 | Total: 1.6030 | CDS: 1.3834
[06:36:12] Step 7130 | Total: 1.4469 | CDS: 1.2536
[06:36:29] Step 7135 | Total: 1.5470 | CDS: 1.3778
[06:36:46] Step 7140 | Total: 2.2778 | CDS: 2.0418
[06:37:02] Step 7145 | Total: 1.5636 | CDS: 1.3004
[06:37:19] Step 7150 | Total: 1.5218 | CDS: 1.3772
[06:37:36] Step 7155 | Total: 1.6336 | CDS: 1.3649
[06:37:52] Step 7160 | Total: 1.5836 | CDS: 1.3580
[06:38:09] Step 7165 | Total: 1.5898 | CDS: 1.3833
[06:38:25] Step 7170 | Total: 1.6357 | CDS: 1.4645
