[06:28:48] Step 4310 | Total: 2.1770 | CDS: 2.0032
[06:29:04] Step 4315 | Total: 2.3184 | CDS: 2.0908
[06:29:19] Step 4320 | Total: 2.7662 | CDS: 2.4771
[06:29:34] Step 4325 | Total: 2.3426 | CDS: 2.1268
[06:29:49] Step 4330 | Total: 2.8860 | CDS: 2.6642
[06:30:05] Step 4335 | Total: 2.5895 | CDS: 2.3214
[06:30:20] Step 4340 | Total: 2.2389 | CDS: 2.0324
[06:30:35] Step 4345 | Total: 2.7412 | CDS: 2.4906
[06:30:50] Step 4350 | Total: 3.1677 | CDS: 2.9096
[06:30:52] 💾 Full checkpoint saved at Epoch 3, Step 4350, Batch 1619
[06:31:07] Step 4355 | Total: 2.3595 | CDS: 2.1651
[06:31:22] Step 4360 | Total: 2.3268 | CDS: 2.1035
[06:31:38] Step 4365 | Total: 2.2228 | CDS: 2.0465
[06:31:53] Step 4370 | Total: 2.9181 | CDS: 2.7894
[06:32:08] Step 4375 | Total: 2.4191 | CDS: 2.1292
[06:32:23] Step 4380 | Total: 2.2670 | CDS: 2.1014
[06:32:39] Step 4385 | Total: 2.7994 | CDS: 2.5941
[06:32:54] Step 4390 | Total: 2.2355 | CDS: 2.0080
[06:33:09] Step 4395 | Total: 2.4070 | CDS: 2.1560
[06:33:24] Step 4400 | Total: 2.5240 | CDS: 2.1861
[06:33:40] Step 4405 | Total: 2.2897 | CDS: 2.1520
[06:33:55] Step 4410 | Total: 3.0372 | CDS: 2.7848
[06:34:10] Step 4415 | Total: 2.7039 | CDS: 2.4749
[06:34:25] Step 4420 | Total: 2.2387 | CDS: 2.0756
[06:34:40] Step 4425 | Total: 2.3841 | CDS: 2.1471
[06:34:56] Step 4430 | Total: 2.4754 | CDS: 2.2063
[06:35:11] Step 4435 | Total: 2.3614 | CDS: 2.0788
[06:35:26] Step 4440 | Total: 2.5344 | CDS: 2.2400
[06:35:41] Step 4445 | Total: 2.7205 | CDS: 2.5234
[06:35:56] Step 4450 | Total: 2.2214 | CDS: 2.0115
[06:36:12] Step 4455 | Total: 2.2464 | CDS: 2.0402
[06:36:27] Step 4460 | Total: 3.0231 | CDS: 2.7597
[06:36:42] Step 4465 | Total: 2.6731 | CDS: 2.4363
[06:36:57] Step 4470 | Total: 2.9966 | CDS: 2.7720
[06:37:13] Step 4475 | Total: 2.6889 | CDS: 2.4310
[06:37:28] Step 4480 | Total: 2.3967 | CDS: 2.2128
[06:37:43] Step 4485 | Total: 3.2436 | CDS: 2.8560
[06:37:58] Step 4490 | Total: 3.2109 | CDS: 2.9919
[06:38:13] Step 4495 | Total: 2.5603 | CDS: 2.2838
[06:38:29] Step 4500 | Total: 2.4850 | CDS: 2.2231
[06:38:31] 💾 Full checkpoint saved at Epoch 3, Step 4500, Batch 2219
[06:38:46] Step 4505 | Total: 2.5621 | CDS: 2.3770
[06:39:01] Step 4510 | Total: 3.0171 | CDS: 2.8478
[06:39:16] Step 4515 | Total: 2.3541 | CDS: 2.1958
[06:39:32] Step 4520 | Total: 2.6098 | CDS: 2.3560
[06:39:47] Step 4525 | Total: 2.2333 | CDS: 2.0548
[06:40:02] Step 4530 | Total: 2.3703 | CDS: 2.1462
[06:40:17] Step 4535 | Total: 2.5264 | CDS: 2.3070
[06:40:32] Step 4540 | Total: 2.5954 | CDS: 2.4253
[06:40:48] Step 4545 | Total: 2.9291 | CDS: 2.7412
[06:41:03] Step 4550 | Total: 2.7627 | CDS: 2.5096
[06:41:18] Step 4555 | Total: 2.6365 | CDS: 2.4340
[06:41:33] Step 4560 | Total: 2.4212 | CDS: 2.1601
[06:41:48] Step 4565 | Total: 2.5277 | CDS: 2.3281
[06:42:04] Step 4570 | Total: 2.0983 | CDS: 1.9256
[06:42:19] Step 4575 | Total: 2.2720 | CDS: 2.0348
[06:42:34] Step 4580 | Total: 2.2639 | CDS: 2.0268
[06:42:49] Step 4585 | Total: 2.5690 | CDS: 2.3467
[06:43:04] Step 4590 | Total: 2.5899 | CDS: 2.3671
[06:43:20] Step 4595 | Total: 2.5579 | CDS: 2.3434
[06:43:35] Step 4600 | Total: 3.0070 | CDS: 2.6621
